2020-04-09 13:31:49.714685
====> Round 4, Epoch: 70 Average loss: 105.0342
====> Round 4, Epoch: 71 Average loss: 104.9728
====> Round 4, Epoch: 72 Average loss: 104.9045
====> Round 4, Epoch: 73 Average loss: 104.8346
====> Round 4, Epoch: 74 Average loss: 104.7869
====> Round 4, Epoch: 75 Average loss: 104.7126
====> Round 4, Epoch: 76 Average loss: 104.6592
====> Round 4, Epoch: 77 Average loss: 104.5930
====> Round 4, Epoch: 78 Average loss: 104.5139
====> Round 4, Epoch: 79 Average loss: 104.4609
====> Round 4, Epoch: 80 Average loss: 104.3915
2020-04-09 15:32:48.975740
====> Round 4 Test set loss: 97.9429
